2026-03-24 20:41:55,380 | INFO | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-03-24 20:41:55,380 | INFO | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-03-24 20:41:55,382 | INFO | apscheduler.scheduler | Added job "send_reminders" to job store "default"
2026-03-24 20:41:55,382 | INFO | apscheduler.scheduler | Added job "send_reminders" to job store "default"
2026-03-24 20:41:55,382 | INFO | apscheduler.scheduler | Added job "make_db_backup" to job store "default"
2026-03-24 20:41:55,382 | INFO | apscheduler.scheduler | Scheduler started
2026-03-24 20:42:10,086 | WARNING | __main__ | Could not delete webhook (network/SSL?): HTTP Client says - ClientConnectorSSLError: Cannot connect to host api.telegram.org:443 ssl:default [[SSL: INVALID_SESSION_ID] invalid session id (_ssl.c:1010)]
2026-03-24 20:42:10,086 | INFO | __main__ | Webhook disabled, running in polling mode
2026-03-24 20:42:10,196 | ERROR | asyncio | Unclosed client session
client_session: <aiohttp.client.ClientSession object at 0x0000021865D51FD0>
2026-03-24 20:43:31,117 | INFO | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-03-24 20:43:31,117 | INFO | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-03-24 20:43:31,117 | INFO | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-03-24 20:43:31,117 | INFO | apscheduler.scheduler | Added job "send_reminders" to job store "default"
2026-03-24 20:43:31,117 | INFO | apscheduler.scheduler | Added job "send_reminders" to job store "default"
2026-03-24 20:43:31,117 | INFO | apscheduler.scheduler | Added job "make_db_backup" to job store "default"
2026-03-24 20:43:31,117 | INFO | apscheduler.scheduler | Scheduler started
2026-03-24 20:44:31,247 | WARNING | __main__ | Could not delete webhook (network/SSL?): HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [None]
2026-03-24 20:44:31,247 | INFO | __main__ | Webhook disabled, running in polling mode
2026-03-24 20:44:31,376 | INFO | aiogram.dispatcher | Start polling
2026-03-24 20:44:49,295 | INFO | aiogram.dispatcher | Polling stopped
2026-03-24 20:47:38,875 | WARNING | app.telegram_session | TELEGRAM_INSECURE_SSL enabled — certificate verification is OFF
2026-03-24 20:47:38,886 | INFO | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-03-24 20:47:38,886 | INFO | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-03-24 20:47:38,886 | INFO | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-03-24 20:47:38,890 | INFO | apscheduler.scheduler | Added job "send_reminders" to job store "default"
2026-03-24 20:47:38,890 | INFO | apscheduler.scheduler | Added job "send_reminders" to job store "default"
2026-03-24 20:47:38,890 | INFO | apscheduler.scheduler | Added job "make_db_backup" to job store "default"
2026-03-24 20:47:38,890 | INFO | apscheduler.scheduler | Scheduler started
2026-03-24 20:47:46,594 | WARNING | __main__ | Could not delete webhook (network/SSL?): HTTP Client says - ClientConnectorSSLError: Cannot connect to host api.telegram.org:443 ssl:default [[SSL: INVALID_SESSION_ID] invalid session id (_ssl.c:1010)]
2026-03-24 20:47:46,595 | INFO | __main__ | Webhook disabled, running in polling mode
2026-03-24 20:47:46,605 | INFO | aiogram.dispatcher | Start polling
2026-03-24 20:48:46,708 | INFO | aiogram.dispatcher | Polling stopped
